"","Location","cobertura","tipo","temporalid","pisoclimat","cubierta","tipo2","tipo3","asociacion","rotacion1","rotacion2","sistemadep","tamanoparc","riego","uso","alteracion","origenagua","observacio","control","zhc","zona","shape_leng","Shape_Area","superficie","area_recal","area","Version..1.0","AREA"
"105","Cumbi3","Vegetacion Herbacea","Vegetacion herbacea seca","*No Aplica*","No aplica","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","Conservacion y proteccion","Muy alterado","*No Aplica*","",1,"No aplicable","No aplicable",198998.510883,23275883.383,2327.5883383,1824811,1819591,NA,NA
"106","Cumbi4","Cultivo","haba","Ciclo corto","Frio","Sin cubierta","PASTO CULTIVADO","MAIZ SUAVE","Mosaico agropecuario","No Aplica","No Aplica","Mercantil","Parcelas pequeñas sierra","Con riego","Agricola extensivo","*No Aplica*","*No Aplica*","<Null>",1,"Mosaicos-Con riego-Parcela pequeña-Frio","Zona 19",10690.9732389,2028026.52033,202.802652033,7185483,1965128,NA,NA
"107","Cumbi4","Pastizal","Pasto cultivado","Permanente","Frio","*No Aplica*","PAPA","HABA","Mosaico agropecuario","No Aplica","No Aplica","Mercantil","Parcelas pequeñas sierra","Sin riego","Pecuario bovino extensivo","*No Aplica*","*No Aplica*","",1,"Mosaicos-Sin riego-Parcela pequeña-Frio","Zona 22",26503.5056392,12969766.6644,1296.97666644,4084412,816119,NA,NA
"108","Cumbi4","Plantacion Forestal","Eucalipto","Permanente","No aplica","*No Aplica*","No Aplica","*No Aplica*","No Aplica","*No Aplica*","*No Aplica*","*No Aplica*","No aplica","*No Aplica*","Conservacion y produccion","*No Aplica*","*No Aplica*","",1,"No aplicable","No aplicable",7017.92951426,185124.052154,18.5124052154,538759,170749,NA,NA
"109","Cumbi4","Vegetacion Arbustiva","Vegetacion arbustiva humeda","*No Aplica*","No aplica","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","Pastoreo ocasional","Medianamente alterado","*No Aplica*","",1,"No aplicable","No aplicable",1647.97430242,53415.077186,5.3415077186,318873,18690,NA,NA
"110","Cumbi4","Vegetacion Herbacea","Vegetacion herbacea seca","*No Aplica*","No aplica","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","Conservacion y proteccion","Muy alterado","*No Aplica*","",1,"No aplicable","No aplicable",198998.510883,23275883.383,2327.5883383,581485,563344,NA,NA
"111","Cumbi5","Area Poblada","Poblado (nucleo urbano poblado)","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","*No Aplica*","Habitacional","*No Aplica*","*No Aplica*",NA,1,"No aplicable","No aplicable",1829.27350975,53612.335731,5.3612335731,194237,54275,NA,NA
"112","Cumbi5","Cultivo","haba","Ciclo corto","Frio","Sin cubierta","No Aplica","No Aplica","No Aplica","No Aplica","No Aplica","Mercantil","Parcelas pequeñas sierra","Con riego","Agricola extensivo","*No Aplica*","*No Aplica*",NA,1,"Ciclo corto-Con riego-Parcela pequeña-Frio","Zona 1",517.694841998,11831.9232102,1.183192321,245785,901,NA,NA
"113","Cumbi5","Pastizal","Pasto cultivado","Permanente","Frio","*No Aplica*","PAPA","HABA","Mosaico agropecuario","No Aplica","No Aplica","Mercantil","Parcelas pequeñas sierra","Con riego","Pecuario bovino extensivo","*No Aplica*","*No Aplica*",NA,1,"Mosaicos-Con riego-Parcela pequeña-Frio","Zona 19",26738.8443761,6102077.17249,610.207717249,11022994,5449194,NA,NA
"114","Cumbi5","Plantacion Forestal","Eucalipto","Permanente","No aplica","*No Aplica*","No Aplica","*No Aplica*","No Aplica","*No Aplica*","*No Aplica*","*No Aplica*","No aplica","*No Aplica*","Forestal para madera","*No Aplica*","*No Aplica*",NA,1,"No aplicable","No aplicable",869.444161714,22656.1261097,2.265612611,270276,21838,NA,NA
